word,topic_0,topic_1,topic_2,topic_3
Mansion,6.722622401866829e-06,6.185054189700168e-06,0.00019089053967036307,4.853139671467943e-06
Twig,4.894439553027041e-05,6.326471066131489e-06,6.819728241680423e-06,0.0008929794421419501
Shadow,6.978564670134801e-06,0.0036578946746885777,7.078584530972876e-06,5.330878593667876e-06
Academic dress,8.83895336301066e-06,6.198428764037089e-06,8.048765266721603e-06,0.0008648011717014015
Farm,0.00019245561270508915,6.324830337689491e-06,0.0002952842623926699,0.0009379502153024077
Skull,0.0005438035586848855,6.317656243481906e-06,0.0003008894855156541,4.925735538563458e-06
Membrane-winged insect,6.723365913785528e-06,6.1936420934216585e-06,6.6115212575823534e-06,0.00014009323786012828
Organism,0.0015106778591871262,0.01670398749411106,0.00026814854936674237,0.008245575241744518
Frog,6.729254437232157e-06,0.0001154439160018228,6.610909622395411e-06,4.853950031247223e-06
Door,6.90546266923775e-06,6.32756928098388e-06,0.0016371594974771142,0.0001608100428711623
Glasses,6.75098090141546e-06,6.246709745028056e-06,0.0001375894498778507,0.00033832158078439534
Residential area,2.1780506358481944e-05,0.0026635134126991034,0.0005382505478337407,1.0215933798463084e-05
Skeleton,8.876510946720373e-06,6.214942914084531e-06,0.0012957353610545397,4.875099875789601e-06
Whale shark,6.821087936259573e-06,0.0011156927794218063,6.7206860876467545e-06,4.921134404867189e-06
Fog,1.0854620995814912e-05,9.219931598636322e-06,1.652279206609819e-05,0.003642527386546135
Painting,1.0015951374953147e-05,6.2095991779642645e-06,0.001828240230679512,4.943991370964795e-06
Wildflower,7.2192160587292165e-06,8.799583156360313e-06,6.64652588966419e-06,0.000947530148550868
King penguin,1.3388771549216472e-05,0.00015276239719241858,6.631722499150783e-06,6.807187673985027e-06
Coral,6.735289844073122e-06,0.0012930486118420959,6.619211944780545e-06,4.863634330831701e-06
Straw,6.7331061472941656e-06,6.1870891840953846e-06,6.617021881538676e-06,0.00014006865967530757
Limestone,0.00043932112748734653,6.208533250173787e-06,6.647983809671132e-06,6.644072982453508e-06
Soccer,6.717290034430334e-06,6.178728199301986e-06,6.606000169995241e-06,9.062057506525889e-05
Crypt,5.983596565783955e-05,6.208639661053894e-06,0.0003388092736713588,4.86136650579283e-06
Pc game,6.744867278030142e-06,7.5360485425335355e-06,0.0021312274038791656,4.8613528633723035e-06
Aircraft,6.755347385478672e-06,6.213443612068659e-06,0.00040253481711260974,1.5057191376399714e-05
Cetacea,6.831158771092305e-06,0.0055565303191542625,7.128267498046625e-06,5.067767051514238e-05
Bengal tiger,6.852181286376435e-06,0.0004933093441650271,6.716726602462586e-06,0.00015658502525184304
Wolf,0.0003024565812665969,6.229255632206332e-06,6.671763003396336e-06,6.598888285225257e-05
