word,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
soccer ball,2.8363647288642824e-06,2.656692913660663e-06,1.0402538919151993e-06,2.9566183457063744e-06,3.405191091587767e-05,0.000280648993793875
polecat,2.837387455656426e-06,2.6575796709948918e-06,1.041410200741666e-06,3.7809109926456586e-05,0.0005770671414211392,2.1541532078117598e-06
cordoba fighting dog,2.8384861252561677e-06,0.000779439345933497,1.0411927178211045e-06,2.960032134069479e-06,2.439304580548196e-06,2.1545558865909697e-06
botanical garden,2.834234010151704e-06,0.0007795962155796587,1.0404115755591192e-06,2.957052629426471e-06,2.4383648451475892e-06,2.1531959646381438e-06
black hair,2.9237671697046608e-06,2.6562165658106096e-06,0.0003048738290090114,2.958445975309587e-06,2.4409100660705008e-06,2.1534794996114215e-06
leg,3.126610863546375e-06,2.70206533059536e-06,0.0018843779107555747,2.984346338053001e-06,2.5415554318897193e-06,0.0017168627819046378
automotive lighting,2.838161435647635e-06,2.658636958585703e-06,0.0003052540705539286,2.9617376640089788e-06,2.4423934519290924e-06,2.155001766368514e-06
fiction,2.838399495885824e-06,2.659014626260614e-06,1.0419397540317732e-06,2.963294264191063e-06,2.4413104711129563e-06,0.0003987704694736749
labyrinth,2.8383940389176132e-06,2.660252448549727e-06,1.0419347518109134e-06,2.9620766781590646e-06,0.0033465037122368813,2.1557807485805824e-06
bull shark,0.0038634533993899822,2.6571387934382074e-06,1.0406814681118703e-06,2.95687505058595e-06,2.439392801534268e-06,3.956301952712238e-06
wrinkle,0.007857725024223328,2.675451924005756e-06,1.0472954272700008e-06,0.00012729689478874207,2.455146614011028e-06,2.1713176465709694e-06
unesco world heritage site,2.844656592060346e-06,2.6642105694918428e-06,1.0430045449538738e-06,2.962520056826179e-06,0.0011762562207877636,2.162056489396491e-06
african elephant,0.00012270789011381567,0.0019300500862300396,0.0017614472890272737,2.969481329273549e-06,0.0001868867693701759,2.170957259295392e-06
facial expression,0.0013684413861483335,2.6662567051971564e-06,1.0423262892800267e-06,2.9641337278007995e-06,0.00045178577420301735,2.1611081137962174e-06
whale,2.8436179491109215e-06,0.0019559208303689957,1.0251967069052625e-05,2.9653608635271667e-06,2.4478429168084403e-06,9.18654041015543e-05
grey fox,2.8369706797093386e-06,2.6562622679193737e-06,0.00019275795784778893,2.9576392535091145e-06,2.4395767468377016e-06,2.15328645936097e-06
space,2.8789600037271157e-06,0.0005591124063357711,0.000914434902369976,0.0012273844331502914,0.0007159952656365931,2.1904813820583513e-06
ceiling,2.129536915163044e-05,2.660800419107545e-06,1.0415969882160425e-06,0.0016482140636071563,2.44454417952511e-06,2.156323716917541e-06
ruins,2.8495251171989366e-06,2.6666839403333142e-06,1.0449499541209661e-06,0.00037074086139909923,0.005385735537856817,2.1629555249091936e-06
horse,0.0018943619215860963,0.0059100859798491,0.00067837507231161,0.005367560777813196,0.0007193482597358525,0.0037097004242241383
concertina,2.836965222741128e-06,2.655714979482582e-06,1.0404592103441246e-06,0.0005479476531036198,2.437906687191571e-06,2.1536889107665047e-06
evening,5.402871011028765e-06,2.688980885068304e-06,0.003495474113151431,0.0016766295302659273,0.000715681235305965,9.294775372836739e-05
woodland,2.840728484443389e-06,2.661394319147803e-06,0.003035513451322913,2.9595410069305217e-06,2.44332068177755e-06,2.1587577521131607e-06
polar bear,0.0028355494141578674,0.0004921404179185629,0.00012067962234141305,2.9813024866598425e-06,2.454004288665601e-06,2.1638593352690805e-06
massif,2.8524070785351796e-06,0.00011330359120620415,5.6478067563148215e-05,0.004137287847697735,2.451386990287574e-06,2.165295882150531e-06
moss,2.846010829671286e-06,0.0007788092480041087,1.0448652574268635e-06,2.9733153041888727e-06,2.4477612896589562e-06,2.1612236196233425e-06
horizon,7.6152737165102735e-06,0.00041586373117752373,0.010407411493360996,0.0001281541772186756,0.0023303693160414696,0.00047708212514407933
rickshaw,2.8352721983537776e-06,2.6551376777206315e-06,1.0403817896076362e-06,2.9578704925370403e-06,0.0004518532077781856,2.1528901470446726e-06
pollution,0.007001233287155628,2.6855825581151294e-06,0.00012602904462255538,2.982428668474313e-06,0.00019486615201458335,2.168887931475183e-06
astronomy,2.8433141778805293e-06,0.001841066055931151,0.00011228673974983394,2.970724835904548e-06,2.4465732622047653e-06,0.0006318066734820604
birth,2.8365541311359266e-06,2.65598851001414e-06,1.0403659871371929e-06,2.9582261049654335e-06,2.4400210349995177e-06,0.0029550131876021624
bull and terrier,2.8366946480673505e-06,0.0007795735145919025,1.0402776524642832e-06,2.957357310151565e-06,2.4379301066801418e-06,2.153107743652072e-06
military,2.2902135242475197e-05,0.004194778855890036,1.0417817293273401e-06,2.962257440231042e-06,2.4427404241578188e-06,0.00017400551587343216
military organization,2.4248744011856616e-05,0.004203296732157469,1.0419486216051155e-06,2.960788833661354e-06,2.4411335743934615e-06,0.00016641482943668962
desert,2.852529405572568e-06,0.0004905381356365979,0.0021063063759356737,0.0004878079053014517,0.00032263188040815294,2.1632195057463832e-06
boa,2.8363213004922727e-06,2.659387519088341e-06,1.042091753333807e-06,2.962435473818914e-06,2.4425355604762444e-06,0.00039877710514701903
mountain,0.00010420570470159873,0.0015018406556919217,0.01277296431362629,0.012555878609418869,0.0014398919884115458,0.006657555233687162
